SAMPLE_ID	SAMPLE_NAME	PUBCHEM_SID	PRIMARY_MOA	ASSAY_NAME	LIBRARY	CAS	ALIAS	AC50	LOG_AC50	AUC	CURVE_CLASS2	DATA_POINTS	DRUG_NAME	EFFICACY	MAX_RESPONSE	P_HILL	R2	GENE_ID	GENE_SYMBOL	SMILES	SUPPLIER	SUPPLIER_ID	DATA0	DATA1	DATA2	DATA3	DATA4	DATA5	DATA6	DATA7	DATA8	DATA9	DATA10	DATA11	DATA12	DATA13	DATA14	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14
NCGC00018157-13	Flurbiprofen		non-steroidal antiinflammatory	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	5104-49-4	 R-(-)-Flurbiprofen;;FLURBIPROFEN;(?)-Flurbiprofen;Flurbiprofen; Anside; Flurbiprofeno; (R)-2-Flurbiprofen; Ansaid; (S)-(+)-Flurbiprofen; S-(+)-Flurbiprofen; Ocufen			2.8352465303	4	7		0	0.35419126				PTGS2	CC(C(O)=O)C1=CC=C(C(=C1)F)C2=CC=CC=C2	SIGMA	F8514	2.52252252	0	0	0.58381985	0	0	0.35419126									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00091563-12	Thiram	170465664		DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	137-26-8				5.0952657077	4	7		0	0					CN(C)C(=S)SSC(=S)N(C)C	Microsource	01503322	0	0.78636959	3.003663	0	0	3.50378788	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00178238-05	Midodrine hydrochloride	170464672	Alpha-1b adrenergic receptor Agonist	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	3092-17-9		8.4367912292	-5.0738226975	-14.764695021	4	7		9.7252252279	-5.31286895	0.5143782201	0.4383322739			Cl.COc1ccc(cc1C(O)CNC(=O)CN)OC	Microsource	01503257	-7.68768769	-5.76671035	2.85714286	-5.58798999	-4.4263776	3.69318182	-5.31286895									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00093362-05	Betahistine mesylate	170465694	Histamine H3 receptor Antagonist	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	54856-23-4				0.0739371172	4	7		0	0					CS(=O)(=O)O.CNCCc1ccccn1	Prestwick Chemical, Inc.	Prestw-543	0	0	0	-0.08340284	0	0.18939394	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00095129-06	Valdecoxib	170465163	Cyclooxygenase-2 Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	181695-72-7		5.3232553899	-5.2738226975	-14.8632579144	4	7		-12.56818182	-12.86894923	0.0181750131	0.9395657297		COX2	NS(=O)(=O)c1ccc(cc1)c3c(C)onc3c2ccccc2	SIGMA	PZ0179	0	0.3931848	-3.58974359	1.33444537	0	-12.97348485	-12.86894923									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00348372-01	LINDANE		GABA-A receptor Binding Agent	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	58-89-9				2.9304641919	4	7		0	0					[Cl][C@H]1[C@H]([Cl])[C@H]([Cl])[C@@H]([Cl])[C@H]([Cl])[C@@H]1[Cl]	SigmaAldrich	233390	0	4.19397117	0	0	0	0	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00183009-01	Pranazepide	144206813	Cholecystokinin A receptor Antagonist	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	150408-73-4	Panazepide; 	16.8336115989	-4.7738226975	-39.8853507597	-2.1	7	PANAZEPIDE;PRANAZEPIDE;FK480;FR120480;CIPLUS_709224;1H-Indole-2-carboxamide, N-(1-(2-fluorophenyl)-3,4,6,7-tetrahydro-4-oxopyrrolo(3,2,1-jk)(1,4)benzodiazepin-3-yl)-, (S)-;Panazepide;LS-173385;FR 120480;FK 480;Pranazepide;N-(1-(2-fluorophenyl)-3,4,6,7-tetrahydro-4-oxo-pyrrolo(3,2,1-jk)(1,4)benzodiazepin-3-yl)-1H-indole-2-carboxamide;FR-120480;pranazepide;pranazepidum;	-95.6975206575	-84.88783943	0.0000970369	0.9959519092			Fc6ccccc6C3=N[C@H](NC(=O)c1cc2ccccc2n1)C(=O)N5CCc4cccc3c45	Pharmaron	PH-NIH-126867	0.6006006	0	4.68864469	2.66889074	4.06504065	-26.79924242	-84.88783943									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00016936-04	Aztreonam	170465110	beta-lactam antibiotic	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	78110-38-0	; ;Aztreonam; Aztreonam; Aztreonam lysinate;AZTREONAM; Azactam	0.0474435636	-7.3238226975	5.8248692334	4	7		4.6173001359	0	0.5719191288	0.3444411254			Nc1nc(cs1)/C(=N\OC(C)(C)C(=O)O)C(=O)N[C@@H]2C(=O)N([C@H]2C)S(=O)(=O)O	Microsource	01505122	0	-3.01441678	3.22344322	0	8.1300813	0	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00018172-09	Indapamide	170465366	Carbonic Anhydrase Type VII Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	26807-65-8	; Veroxil;Indapamide; Indapamida; Lozol;INDAPAMIDE; Natrix; Indapamide Anhydride			-4.3049153042	4	7		0	-9.09090909			766	CA7	NS(=O)(=O)c1cc(ccc1Cl)C(=O)NN2c3ccccc3CC2C	Microsource	01500349	0	0	0	0	0	-1.60984848	-9.09090909									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00182057-03	Detomidine hydrochloride	170465639	Alpha-2 adrenergic receptor Agonist	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	90038-01-0				5.382326461	4	7		0	0					Cl.Cc2cccc(Cc1cncn1)c2C	Selleck	S1579	0	0	3.95604396	0	0.81300813	2.93560606	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00263909-02	Tadalafil	170464819	Phosphodiesterase V (PDE5) inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	171596-29-5				6.0189015838	4	7		0	0				PDE5A	O=C6N(C)CC(=O)N4[C@@H]6Cc1c5ccccc5nc1[C@H]4c2ccc3OCOc3c2	Microsource	01505639	0	1.96592398	4.02930403	0	2.61969286	0	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00159447-07	8-Quinolinol Salicylic acid (1:1)	170465482	Trichophyton Interdigitale Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	2439-07-8		2.6679476428	-5.5738226975	-1.5752387057	4	7		-8.431818176	0	0.0900508177	0.8974631384			O=C(O)c1ccccc1O.Oc1cccc2cccnc12	Specs	AE-562/J262360	3.003003	0	0	0	-2.25835592	-7.85984848	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00015649-08	Moxonidine hydrochloride hydrate	170466534	Imidazoline I1 Receptor Agonist	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	75438-57-2	 Zint; ; Moxon; MOXONIDINE HCl; Cynt;Moxonidine; Moxonidine; Lilly brand of moxonidine; Physiotens; Normatens;Moxonidine hydrochloride; Moxonidine hydrochloride			-1.2565914692	4	7		0	0			11188	NISCH	COc2nc(C)nc(Cl)c2NC1=NCCN1	Prestwick	Prestw-1016	0	0	0	0	0	-1.79924242	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00015838-06	Propionylpromazine hydrochloride	170466841	Trypanothione reductase Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	7681-67-6		11.9172843674	-4.9238226975	-6.3683235843	4	7		-22.659976388	-19.71664699	0.0036357172	0.9743805			Cl.CCC(=O)c1cc2N(CCCN(C)C)c3ccccc3Sc2cc1	SIGMA	P7780	0	3.80078637	2.49084249	0.66722269	2.98102981	-9.18560606	-19.71664699									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00016934-06	Nizatidine	170464780	Histamine H2 receptor Antagonist	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	76963-41-2				1.2816517832	4	7		0	-1.06257379					CN(C)Cc1nc(CSCCNC(=C[N+]([O-])=O)NC)cs1	Microsource	01505985	0	0	0	0	0	2.36742424	-1.06257379									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00015562-25	Indomethacin	170464705	Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	53-86-1	 Indocin;; Cu salt; Indocid; Al salt; Indocin I.V.; ; Li salt; Cu(2+) salt; Metindol; Mg salt; Indomethacin; Ca salt; Osmosin; Cu-IMCC; Zn salt; Combiflex;Indomethacin; Indomet 140; Amuno; NH4 salt;INDOMETHACIN; Indometacina	26.6794764276	-4.5738226975	-15.2869416691	-3	7		-62.6959858279	-51.82998819	0.000189548	0.994328499		PTGS2	Clc1ccc(cc1)C(=O)n3c2ccc(cc2c(CC(=O)O)c3C)OC	Microsource	01500350	0	3.93184797	3.36996337	0	2.16802168	-5.39772727	-51.82998819									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00178778-07	DIETHYLCARBAMAZINE CITRATE			DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	1642-54-2		23.778108395	-4.6238226975	-26.503761223	-2.2	7		-48.123812182	-36.83622135	0.0285792244	0.9218866109			CCN(CC)C(=O)N1CCN(C)CC1	Microsource	01500242	2.02098717	-7.70498558	0	4.59459459	-5.23002421	-13.8	-36.83622135									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00390241-07	LX1606 (Hippurate)		5-HT Release Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	1137608-69-5		13.3714129854	-4.8738226975	-61.8438834411	-2.2	7		-76.5399664636	-72.72219117	0.0034082475	0.9751795836		TPH1	CCOC(=O)[C@@H](N)CC1=CC=C(C=C1)C2=CC(=NC(=N2)N)O[C@H](C3=C(C=C(Cl)C=C3)[N]4C=CC(=N4)C)C(F)(F)F	MedChem Express	HY-13055	-0.3109211	2.84301607	0	-11.35135135	-6.48910412	-36.7	-72.72219117									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00160481-02	Tioxidazole	124892286	microtubule polymerization Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02			42.2841205686	-4.3738226975	-16.0424107347	-2.4	7		-29.55645612	-25.8803801	0.0491582381	0.8931053308			CCCOC1=CC=C2N=C(NC(=O)OC)SC2=C1	Chembridge	5175278	-1.47687524	0	-0.49173	0.54054054	-8.52300242	0.4	-25.8803801									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00532506-01	SODIUM LAURYL SULFOACETATE			DPI_SARS-CoV-2_General	2020_NCATS-NPC_02			18.8876228665	-4.7238226975	-19.0650927878	-3	7		-46.5595304616	-42.09055338	0.0003563898	0.9921975388			CCCCCCCCCCCCOC(=O)C[S]([O-])(=O)=O	SIGMA	MFCD00214054	0	0	0	0	3.48668281	-9.7	-42.09055338									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00095136-09	Olmesartan medoxomil			DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	144689-63-4		9.4662354543	-5.0238226975	-30.0682327912	-2.4	7		-30.300447176	-27.33370598	0.0067650458	0.9644649632			CCCC1=NC(=C([N]1CC2=CC=C(C=C2)C3=CC=CC=C3C4=N[NH]N=N4)C(=O)OCC/5=C(C)/OC(=O)O5)C(C)(C)O	APExBIO	A4082	-0.93276331	0.45323445	0	-6.12612613	-4.35835351	-18.1	-27.33370598									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00262943-01	Tocanfil	170466061		DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	5634-42-4	Tocamphylum;Tocanfil;Tocamphyl	21.1922614141	-4.6738226975	-1.9608224524	-2.4	7		-30.4955282279	-26.66294019	0.0032900512	0.9756600629			CC1(CCC(C(=O)O)C1(C)C)C(=O)OC(C)c2ccc(C)cc2.OCCNCCO	GVK	FFS-11-286-NCI-206	1.24368441	0	4.1573536	1.62162162	4.93946731	-1.8	-26.66294019									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00016371-08	Diclofenamide		Carbonic Anhydrase Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	120-97-8				-5.1120106255	4	7		0	0				CA1	N[S+]([O-])(=O)C1=CC(=C(Cl)C(=C1)[S+](N)([O-])=O)Cl	APExBIO	A8408	0	-1.35970334	0	0	-1.2590799	-4.7	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00538320-01	NCGC00538320-01		Prostamide/prostaglandin F synthase Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02			23.778108395	-4.6238226975	-19.6826523852	-3	7		-51.3018446082	-43.09670207	0.0003785197	0.99195556	127281	FAM213B	OC(=O)C1CCC2=C1C=C(Cl)C(=C2)C3CCCCC3	Pharmaron	PH-NIH-2017-009-L1-7-0	0	3.50226617	-1.29637908	0	0	-8.8	-43.09670207									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00263218-07	Teriflunomide		DHODH Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	108605-62-5		0.299348649	-6.5238226975	-14.6836585992	4	7		-10.7360774759	-11.79429849	0.2875683056	0.6403847767		DHODH	C\C(O)=C(C#N)\C(=O)NC1=CC=C(C=C1)C(F)(F)F	Bio Vision	1973	2.95375049	0	2.72686634	-6.84684685	-13.94673123	-0.9	-11.79429849									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00185765-02	Encainide hydrochloride		Sodium channel protein type V alpha subunit Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	66794-74-9		0.6701581484	-6.1738226975	-6.8119025063	4	7		-6.701788704	-9.33482392	0.3162652484	0.6111680421			COC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2CCC3CCCCN3C	SIGMA	E9156	0	2.59579728	0	0	-6.97336562	-0.7	-9.33482392									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00181296-02	Seratrodast	170465940	Prostanoid TP Agonist	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	112665-43-7	 Bronica; (+-)-7-(3,5,6-trimethyl-1,4-benzoquinon-2-yl)-7-phenylheptanoic acid;Seratrodast;AA 2414; 	21.1922614141	-4.6738226975	-54.0930457397	-2.2	7		-77.6148686368	-67.13247624	0.0027196972	0.9779281323	6915	TBXA2R	O=C2C(C)=C(C)C(=O)C(C)=C2C(CCCCCC(=O)O)c1ccccc1	Tocris	3025	-4.74154683	-9.51792336	1.60929817	0	-5.81113801	-23.9	-67.13247624									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00181008-02	Olsalazine sodium	225144315	Cyclooxygenase Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	6054-98-4		2.9934864903	-5.5238226975	-13.1027424371	4	7		-17.8799999999	-12.24147568	0.0390075599	0.9067207312			OC1=CC=C(C=C1C([O-])=O)/N=N/C2=CC=C(O)C(=C2)C([O-])=O	Bosche	O2307	4.89700738	0	0.35762182	2.25225225	-1.7433414	-19.9	-12.24147568									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00345885-04	Etravirine		P-glycoprotein 1 Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	269055-15-4				-0.2579341224	4	7		0	-2.51537172					CC1=C(OC2=NC(=NC(=C2Br)N)NC3=CC=C(C=C3)C#N)C(=CC(=C1)C#N)C	MedChem Express	HY-90005	3.42013214	0	0	1.26126126	-4.84261501	0	-2.51537172									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00164005-06	PENICILLIN V POTASSIUM			DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	132-98-9, 87-08-1 [penicillin, V]		0.0188876229	-7.7238226975	-7.8914084907	4	7		-7.9988824319	1.84460592	0.4807479772	0.4882142654			CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O	Microsource	01500467	3.8865138	0.61804697	-10.41573536	-1.44144144	-5.13317191	0	1.84460592									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00178860-06	Ethopropazine hydrochloride	170465065	Butyrylcholinesterase Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	1094-08-2		11.9172843674	-4.9238226975	-53.8160354811	-2.2	7		-68.2431525944	-64.11403018	0.0008358537	0.9879627843			Cl.CCN(CC)C(C)CN1c3ccccc3Sc2ccccc12	Microsource	01500293	1.32141469	0	2.05632544	-6.66666667	-7.84503632	-34.2	-64.11403018									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00015954-04	Sobuzoxane	90341303	DNA topoisomerase II Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02					-20.2837189575	4	7		0	-8.99944103					CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O	SigmaAldrich	Lopac-S-4692	-3.80878352	0	-4.60438087	-5.76576577	-0.7748184	-8.4	-8.99944103									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00261967-01	Prednisolone farnesylate	170466045	Glucocorticoid and meneralocorticoid receptor agonists/antagonists Agonist	DPI_SARS-CoV-2_General	2020_NCATS-NPC_02	118244-44-3	No2-cbl;Nitritocobalamin;Nitrocobalamin	9.4662354543	-5.0238226975	-34.4034326195	-2.2	7		-33.5061486892	-34.26495249	0.0415951354	0.9030332299			C/C(C)=C\CCC(\C)=C\CCC(/C)=C/C(=O)OCC(=O)[C@@]4(O)CC[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3CCC1=CC(=O)C=C[C@@]12C	GVK	FFS-11-286-NCI-185	-1.24368441	1.03007829	0.53643272	-10.81081081	3.38983051	-24.6	-34.26495249									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00538148-01	NCGC00538148-01			DPI_SARS-CoV-2_General	2020_NCATS-NPC_02			1.0621290872	-5.9738226975	-11.1912201527	4	7		-10.46	-1.62101733	0.0001538127	0.9987356558			OCCN(CCO)CCOC(=O)C1=CC=CC=C1O	Pharmaron	PH-NIH-2017-009-L1-9-0	0	-0.20601566	0	-0.45045045	-9.97578692	-10.8	-1.62101733									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
